Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Net P&L USD,Net P&L %,Cumulative P&L USD,Cumulative P&L %
26,Exit short,2019-09-26 16:00,close,78.88,100,"1,522.45",1.52,"7,694.16",7.69
27,Entry short,2019-10-03 09:30,buy,81.1,100,,,,
27,Exit short,2019-10-03 16:00,close,81.05,100,(753.33),-0.75,"6,940.83",6.94
28,Entry long,2019-10-08 09:30,buy,78.26,100,,,,
28,Exit long,2019-10-08 16:00,close,82.21,100,718.39,0.72,"7,659.22",7.66
29,Entry long,2019-10-23 09:30,buy,83.45,100,,,,
29,Exit long,2019-10-23 16:00,close,86.3,100,(21.04),-0.02,"7,638.18",7.64
30,Entry long,2019-10-29 09:30,buy,85.2,100,,,,
30,Exit long,2019-10-29 16:00,close,83.15,100,(752.98),-0.75,"6,885.20",6.89
31,Entry long,2019-11-05 09:30,buy,85.43,100,,,,
31,Exit long,2019-11-05 16:00,close,81.69,100,"4,950.17",4.95,"11,835.37",11.84
32,Entry long,2019-11-14 09:30,buy,81.17,100,,,,
32,Exit long,2019-11-14 16:00,close,81.72,100,"1,039.05",1.04,"12,874.42",12.87
33,Entry short,2019-12-02 09:30,buy,79.68,100,,,,
33,Exit short,2019-12-02 16:00,close,75.54,100,(256.53),-0.26,"12,617.89",12.62
34,Entry long,2019-12-02 09:30,buy,77.37,100,,,,
34,Exit long,2019-12-02 16:00,close,79.13,100,(753.02),-0.75,"11,864.87",11.86
35,Entry long,2019-12-18 09:30,buy,78.63,100,,,,
35,Exit long,2019-12-18 16:00,close,79.32,100,(103.71),-0.1,"11,761.16",11.76
36,Entry long,2019-12-26 09:30,buy,80.62,100,,,,
36,Exit long,2019-12-26 16:00,close,78.7,100,(142.23),-0.14,"11,618.93",11.62
37,Entry long,2020-01-09 09:30,buy,78.53,100,,,,
37,Exit long,2020-01-09 16:00,close,79.81,100,(101.32),-0.1,"11,517.61",11.52
38,Entry long,2020-01-21 09:30,buy,83.88,100,,,,
38,Exit long,2020-01-21 16:00,close,87.65,100,"1,087.95",1.09,"12,605.56",12.61
39,Entry long,2020-01-31 09:30,buy,84.07,100,,,,
39,Exit long,2020-01-31 16:00,close,83.21,100,(751.00),-0.75,"11,854.56",11.85
40,Entry long,2020-02-03 09:30,buy,84.1,100,,,,
40,Exit long,2020-02-03 16:00,close,78.35,100,(752.63),-0.75,"11,101.93",11.1
41,Entry long,2020-02-18 09:30,buy,80.02,100,,,,
41,Exit long,2020-02-18 16:00,close,76.89,100,(40.37),-0.04,"11,061.56",11.06
42,Entry long,2020-02-24 09:30,buy,75.66,100,,,,
42,Exit long,2020-02-24 16:00,close,75.76,100,(751.76),-0.75,"10,309.80",10.31
43,Entry long,2020-02-24 09:30,buy,78.86,100,,,,
43,Exit long,2020-02-24 16:00,close,78.39,100,(751.97),-0.75,"9,557.83",9.56
44,Entry long,2020-03-05 09:30,buy,78.63,100,,,,
44,Exit long,2020-03-05 16:00,close,82.78,100,(751.00),-0.75,"8,806.83",8.81
45,Entry long,2020-03-06 09:30,buy,85.05,100,,,,
45,Exit long,2020-03-06 16:00,close,82.3,100,(752.16),-0.75,"8,054.67",8.05
46,Entry short,2020-06-11 09:30,buy,80.96,100,,,,
46,Exit short,2020-06-11 16:00,close,84.62,100,(752.07),-0.75,"7,302.60",7.3
47,Entry long,2020-07-10 09:30,buy,84.1,100,,,,
47,Exit long,2020-07-10 16:00,close,82.96,100,"1,306.59",1.31,"8,609.19",8.61
48,Entry long,2020-07-10 09:30,buy,81.8,100,,,,
48,Exit long,2020-07-10 16:00,close,79.52,100,"3,060.78",3.06,"11,669.97",11.67
49,Entry short,2020-08-24 09:30,buy,83.44,100,,,,
49,Exit short,2020-08-24 16:00,close,82.82,100,(344.29),-0.34,"11,325.68",11.33
50,Entry long,2020-08-24 09:30,buy,80.88,100,,,,
50,Exit long,2020-08-24 16:00,close,77.64,100,(440.60),-0.44,"10,885.08",10.89
51,Entry long,2020-09-04 09:30,buy,78.96,100,,,,
51,Exit long,2020-09-04 16:00,close,78.98,100,(755.84),-0.76,"10,129.24",10.13
52,Entry long,2020-09-08 09:30,buy,79.16,100,,,,
52,Exit long,2020-09-08 16:00,close,79.49,100,(381.68),-0.38,"9,747.56",9.75
53,Entry long,2020-10-26 09:30,buy,79.07,100,,,,
53,Exit long,2020-10-26 16:00,close,77.98,100,"1,089.71",1.09,"10,837.27",10.84
54,Entry short,2020-10-26 09:30,buy,76.76,100,,,,
54,Exit short,2020-10-26 16:00,close,75.66,100,(86.73),-0.09,"10,750.54",10.75
55,Entry long,2020-10-28 09:30,buy,75.16,100,,,,
55,Exit long,2020-10-28 16:00,close,77.08,100,(753.11),-0.75,"9,997.43",10.0
56,Entry long,2020-11-09 09:30,buy,76.84,100,,,,
56,Exit long,2020-11-09 16:00,close,78.72,100,"1,203.52",1.2,"11,200.95",11.2
57,Entry long,2020-11-25 09:30,buy,81.39,100,,,,
57,Exit long,2020-11-25 16:00,close,76.29,100,"2,656.02",2.66,"13,856.97",13.86
58,Entry long,2020-12-08 09:30,buy,75.55,100,,,,
58,Exit long,2020-12-08 16:00,close,75.86,100,494.82,0.49,"14,351.79",14.35
59,Entry long,2020-12-22 09:30,buy,77.5,100,,,,
59,Exit long,2020-12-22 16:00,close,79.92,100,(29.69),-0.03,"14,322.10",14.32
60,Entry long,2021-01-04 09:30,buy,82.49,100,,,,
60,Exit long,2021-01-04 16:00,close,81.79,100,"1,860.55",1.86,"16,182.65",16.18
61,Entry long,2021-01-15 09:30,buy,83.1,100,,,,
61,Exit long,2021-01-15 16:00,close,81.73,100,"1,372.84",1.37,"17,555.49",17.56
62,Entry short,2021-01-22 09:30,buy,83.4,100,,,,
62,Exit short,2021-01-22 16:00,close,88.84,100,"1,560.27",1.56,"19,115.76",19.12
63,Entry long,2021-01-27 09:30,buy,88.16,100,,,,
63,Exit long,2021-01-27 16:00,close,88.6,100,(753.66),-0.75,"18,362.10",18.36
64,Entry long,2021-01-29 09:30,buy,87.56,100,,,,
64,Exit long,2021-01-29 16:00,close,88.56,100,"2,156.69",2.16,"20,518.79",20.52
65,Entry long,2021-02-22 09:30,buy,91.42,100,,,,
65,Exit long,2021-02-22 16:00,close,89.6,100,"1,191.69",1.19,"21,710.48",21.71
66,Entry long,2021-03-01 09:30,buy,88.45,100,,,,
66,Exit long,2021-03-01 16:00,close,85.9,100,"3,322.33",3.32,"25,032.81",25.03
67,Entry long,2021-03-04 09:30,buy,83.86,100,,,,
67,Exit long,2021-03-04 16:00,close,84.23,100,(753.16),-0.75,"24,279.65",24.28
68,Entry long,2021-03-05 09:30,buy,84.51,100,,,,
68,Exit long,2021-03-05 16:00,close,86.09,100,(754.00),-0.75,"23,525.65",23.53
69,Entry long,2021-04-20 09:30,buy,86.55,100,,,,
69,Exit long,2021-04-20 16:00,close,87.06,100,(348.13),-0.35,"23,177.52",23.18
70,Entry short,2021-04-30 09:30,buy,84.26,100,,,,
70,Exit short,2021-04-30 16:00,close,86.18,100,"1,097.06",1.1,"24,274.58",24.27
71,Entry long,2021-05-13 09:30,buy,87.3,100,,,,
71,Exit long,2021-05-13 16:00,close,87.26,100,"2,185.50",2.19,"26,460.08",26.46
72,Entry long,2021-05-27 09:30,buy,87.14,100,,,,
72,Exit long,2021-05-27 16:00,close,84.99,100,"1,353.46",1.35,"27,813.54",27.81
73,Entry long,2021-06-11 09:30,buy,84.04,100,,,,
73,Exit long,2021-06-11 16:00,close,83.58,100,"1,541.68",1.54,"29,355.22",29.36
74,Entry long,2021-06-18 09:30,buy,83.36,100,,,,
74,Exit long,2021-06-18 16:00,close,82.89,100,(755.39),-0.76,"28,599.83",28.6
75,Entry short,2021-06-29 09:30,buy,82.58,100,,,,
75,Exit short,2021-06-29 16:00,close,77.28,100,"1,815.82",1.82,"30,415.65",30.42
76,Entry long,2021-07-06 09:30,buy,75.43,100,,,,
76,Exit long,2021-07-06 16:00,close,77.97,100,(264.47),-0.26,"30,151.18",30.15
77,Entry long,2021-07-28 09:30,buy,74.93,100,,,,
77,Exit long,2021-07-28 16:00,close,75.26,100,414.13,0.41,"30,565.31",30.57
78,Entry short,2021-08-03 09:30,buy,73.68,100,,,,
78,Exit short,2021-08-03 16:00,close,74.86,100,681.38,0.68,"31,246.69",31.25
79,Entry long,2021-08-05 09:30,buy,72.21,100,,,,
79,Exit long,2021-08-05 16:00,close,71.63,100,(751.18),-0.75,"30,495.51",30.5
80,Entry long,2021-08-17 09:30,buy,71.78,100,,,,
80,Exit long,2021-08-17 16:00,close,69.13,100,(753.36),-0.75,"29,742.15",29.74
81,Entry long,2021-09-01 09:30,buy,70.15,100,,,,
81,Exit long,2021-09-01 16:00,close,67.74,100,(383.96),-0.38,"29,358.19",29.36
82,Entry long,2021-09-02 09:30,buy,67.63,100,,,,
82,Exit long,2021-09-02 16:00,close,66.48,100,"1,146.96",1.15,"30,505.15",30.51
83,Entry long,2021-09-07 09:30,buy,66.76,100,,,,
83,Exit long,2021-09-07 16:00,close,64.74,100,(751.48),-0.75,"29,753.67",29.75
84,Entry long,2021-09-10 09:30,buy,64.67,100,,,,
84,Exit long,2021-09-10 16:00,close,69.12,100,(756.04),-0.76,"28,997.63",29.0
85,Entry short,2021-09-20 09:30,buy,69.3,100,,,,
85,Exit short,2021-09-20 16:00,close,70.37,100,(751.25),-0.75,"28,246.38",28.25
86,Entry long,2021-09-20 09:30,buy,70.65,100,,,,
86,Exit long,2021-09-20 16:00,close,75.48,100,(755.69),-0.76,"27,490.69",27.49
87,Entry short,2021-10-13 09:30,buy,76.6,100,,,,
87,Exit short,2021-10-13 16:00,close,76.97,100,(751.22),-0.75,"26,739.47",26.74
88,Entry long,2021-10-27 09:30,buy,75.16,100,,,,
88,Exit long,2021-10-27 16:00,close,79.15,100,(294.42),-0.29,"26,445.05",26.45
89,Entry long,2021-10-29 09:30,buy,80.54,100,,,,
89,Exit long,2021-10-29 16:00,close,80.62,100,"4,056.28",4.06,"30,501.33",30.5
90,Entry long,2021-11-04 09:30,buy,79.44,100,,,,
90,Exit long,2021-11-04 16:00,close,80.78,100,(751.17),-0.75,"29,750.16",29.75
91,Entry short,2021-11-18 09:30,buy,82.0,100,,,,
91,Exit short,2021-11-18 16:00,close,84.97,100,(303.67),-0.3,"29,446.49",29.45
92,Entry long,2021-11-23 09:30,buy,85.02,100,,,,
92,Exit long,2021-11-23 16:00,close,87.15,100,(189.40),-0.19,"29,257.09",29.26
93,Entry long,2021-11-30 09:30,buy,86.97,100,,,,
93,Exit long,2021-11-30 16:00,close,88.86,100,(752.16),-0.75,"28,504.93",28.5
94,Entry long,2021-12-02 09:30,buy,89.28,100,,,,
94,Exit long,2021-12-02 16:00,close,88.33,100,(751.00),-0.75,"27,753.93",27.75
95,Entry long,2021-12-16 09:30,buy,91.69,100,,,,
95,Exit long,2021-12-16 16:00,close,91.11,100,(117.07),-0.12,"27,636.86",27.64
96,Entry long,2021-12-30 09:30,buy,90.86,100,,,,
96,Exit long,2021-12-30 16:00,close,94.19,100,"1,318.42",1.32,"28,955.28",28.96
97,Entry long,2022-01-05 09:30,buy,94.88,100,,,,
97,Exit long,2022-01-05 16:00,close,98.27,100,(183.82),-0.18,"28,771.46",28.77
98,Entry long,2022-01-05 09:30,buy,101.2,100,,,,
98,Exit long,2022-01-05 16:00,close,102.83,100,(751.00),-0.75,"28,020.46",28.02
99,Entry long,2022-02-11 09:30,buy,103.25,100,,,,
99,Exit long,2022-02-11 16:00,close,98.5,100,(753.08),-0.75,"27,267.38",27.27
100,Entry long,2022-02-14 09:30,buy,102.1,100,,,,
100,Exit long,2022-02-14 16:00,close,99.36,100,(752.06),-0.75,"26,515.32",26.52
101,Entry long,2022-04-21 09:30,buy,99.2,100,,,,
101,Exit long,2022-04-21 16:00,close,102.16,100,(752.01),-0.75,"25,763.31",25.76
102,Entry long,2022-04-22 09:30,buy,97.58,100,,,,
102,Exit long,2022-04-22 16:00,close,95.9,100,(217.97),-0.22,"25,545.34",25.55
103,Entry long,2022-05-03 09:30,buy,93.69,100,,,,
103,Exit long,2022-05-03 16:00,close,89.9,100,(751.93),-0.75,"24,793.41",24.79
104,Entry long,2022-06-16 09:30,buy,88.73,100,,,,
104,Exit long,2022-06-16 16:00,close,84.22,100,(751.93),-0.75,"24,041.48",24.04
105,Entry long,2022-07-14 09:30,buy,85.67,100,,,,
105,Exit long,2022-07-14 16:00,close,84.45,100,(751.17),-0.75,"23,290.31",23.29
106,Entry long,2022-07-14 09:30,buy,87.03,100,,,,
106,Exit long,2022-07-14 16:00,close,87.11,100,(751.00),-0.75,"22,539.31",22.54
107,Entry long,2022-08-04 09:30,buy,84.84,100,,,,
107,Exit long,2022-08-04 16:00,close,84.77,100,(752.07),-0.75,"21,787.24",21.79
108,Entry long,2022-08-25 09:30,buy,85.23,100,,,,
108,Exit long,2022-08-25 16:00,close,86.63,100,(183.71),-0.18,"21,603.53",21.6
109,Entry long,2022-08-29 09:30,buy,87.15,100,,,,
109,Exit long,2022-08-29 16:00,close,85.92,100,(752.17),-0.75,"20,851.36",20.85
110,Entry long,2022-09-12 09:30,buy,83.7,100,,,,
110,Exit long,2022-09-12 16:00,close,79.75,100,(751.66),-0.75,"20,099.70",20.1
111,Entry long,2022-09-15 09:30,buy,77.98,100,,,,
111,Exit long,2022-09-15 16:00,close,75.74,100,(751.00),-0.75,"19,348.70",19.35
999,Entry long,2024-12-30 09:30,buy,75.74,100,,,,
